ID , Year, Month (r), Date      , Ticker       , Transation                  , Stock Proceeds, Units      , Balance Units, Cost  Unit Price, Total Cost (H*J), Balance Total Cost (prior + K), Avarage Price (K/H), B3 Unit Price, B3  Total Price  (I*N), 7        , 31       , 365      , YTD      , Instrument Type, Investment Broker , CNPJ              , IR       , Dollar Date, Total_(stocks + proceeds), Overall  % Var, Overall  %   YTD
147, 2022,         1, 27/01/2022, BVMF:SUZB3   , DIVIDENDOS                  , "R$ 197,89"   ,            , "267,00000"  , "R$ 41,52"      , "R$ 2.781,84"   , "R$ 11.085,84"                , "R$ 41,52"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Industry       , Rico Investimentos, 16.404.287/0001-55,          , NOT FOUND  ,                          ,               , 
148, 2022,         2, 07/02/2022, HSML11       , RENDIMENTOS                 , "R$ 45,65"    ,            , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
149, 2022,         2, 11/02/2022, BVMF:HAPV3   , Buy                         ,               , "251,0000" , "251,00000"  , "R$ 2,83"       , "R$ 710,33"     , "R$ 710,33"                   , "R$ 2,83"          , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Healthcare     , Rico Investimentos, 05.197.443/0001-38,          , NOT FOUND  ,                          ,               , 
150, 2022,         2, 11/02/2022, GNDI3        , Sell                        ,               , "-48,0000" , "0,00000"    , "R$ 68,71"      , "-R$ 3.298,08"  , "R$ 130,08"                   , "R$ 71,42"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Healthcare     , Rico Investimentos, 19.853.511/0001-84,          , NOT FOUND  ,                          ,               , 
151, 2022,         2, 14/02/2022, HGRU11       , RENDIMENTOS                 , "R$ 53,20"    ,            , "70,00000"   ,                 , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
152, 2022,         2, 14/02/2022, KNRI11       , RENDIMENTOS                 , "R$ 48,60"    ,            , "60,00000"   , "R$ 164,55"     , "R$ 9.873,00"   , "R$ 9.873,00"                 , "R$ 164,55"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 12.005.956/0001-65,          , NOT FOUND  ,                          ,               , 
153, 2022,         3, 08/03/2022, HSML11       , RENDIMENTOS                 , "R$ 49,80"    ,            , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
154, 2022,         3, 09/03/2022, AMER3        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 75,48"    , "143,0000" , "143,00000"  , "R$ 33,30"      , "R$ 4.761,90"   , "R$ 4.761,90"                 , "R$ 33,30"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Retail         , Rico Investimentos, 00.776.574/0001-57,          , NOT FOUND  ,                          ,               , 
155, 2022,         3, 11/03/2022, ITSA4        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 92,06"    ,            , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
156, 2022,         3, 11/03/2022, ITSA4        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 83,30"    ,            , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
157, 2022,         3, 15/03/2022, HGRU11       , RENDIMENTOS                 , "R$ 53,20"    ,            , "70,00000"   ,                 , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
158, 2022,         3, 15/03/2022, KNRI11       , RENDIMENTOS                 , "R$ 48,60"    ,            , "60,00000"   , "R$ 164,55"     , "R$ 9.873,00"   , "R$ 9.873,00"                 , "R$ 164,55"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 12.005.956/0001-65,          , NOT FOUND  ,                          ,               , 
159, 2022,         3, 16/03/2022, BVMF:VALE3   , DIVIDENDOS                  , "R$ 580,20"   ,            , "156,00000"  , "R$ 60,57"      , "R$ 9.448,92"   , "R$ 9.448,92"                 , "R$ 60,57"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Mining         , Rico Investimentos, 33.592.510/0001-54,          , NOT FOUND  ,                          ,               , 
160, 2022,         3, 16/03/2022, BVMF:WEGE3   , DIVIDENDOS                  , "R$ 6,15"     ,            , "30,00000"   , "R$ 35,40"      , "R$ 1.062,00"   , "R$ 1.062,00"                 , "R$ 35,40"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Industry       , Rico Investimentos, 84.429.695/0001-11,          , NOT FOUND  ,                          ,               , 
161, 2022,         3, 16/03/2022, BVMF:WEGE3   , JUROS S/ CAPITAL PRÓPRIO    , "R$ 0,53"     ,            , "30,00000"   , "R$ 35,40"      , "R$ 1.062,00"   , "R$ 1.062,00"                 , "R$ 35,40"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Industry       , Rico Investimentos, 84.429.695/0001-11,          , NOT FOUND  ,                          ,               , 
162, 2022,         3, 16/03/2022, BVMF:WEGE3   , JUROS S/ CAPITAL PRÓPRIO    , "R$ 0,82"     ,            , "30,00000"   , "R$ 35,40"      , "R$ 1.062,00"   , "R$ 1.062,00"                 , "R$ 35,40"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Industry       , Rico Investimentos, 84.429.695/0001-11,          , NOT FOUND  ,                          ,               , 
163, 2022,         3, 29/03/2022, GNDI3        , DIVIDENDOS                  , "R$ 77,42"    ,            , "0,00000"    ,                 ,                 ,                               ,                    , NOT FOUND    , "R$ 0,00"             , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Healthcare     , Rico Investimentos, 19.853.511/0001-84,          , NOT FOUND  ,                          ,               , 
164, 2022,         4, 01/04/2022, ITSA4        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 14,00"    ,            , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
165, 2022,         4, 07/04/2022, HSML11       , RENDIMENTOS                 , "R$ 49,80"    ,            , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
166, 2022,         4, 08/04/2022, B3SA3        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 32,83"    ,            , "768,00000"  , "R$ 11,38"      , "R$ 5.826,56"   , "R$ 11.653,12"                , "R$ 15,17"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25,          , NOT FOUND  ,                          ,               , 
167, 2022,         4, 08/04/2022, B3SA3        , DIVIDENDOS                  , "R$ 100,75"   ,            , "768,00000"  , "R$ 11,38"      , "R$ 5.826,56"   , "R$ 11.653,12"                , "R$ 15,17"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25,          , NOT FOUND  ,                          ,               , 
168, 2022,         4, 12/04/2022, BVMF:HAPV3   , FRAÇÕES DE AÇÕES            , "R$ 8,34"     , "-235,0000", "16,00000"   ,                 ,                 , "R$ 710,33"                   ,                    , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Healthcare     , Rico Investimentos, 05.197.443/0001-38,          , NOT FOUND  ,                          ,               , 
169, 2022,         4, 14/04/2022, HGRU11       , RENDIMENTOS                 , "R$ 57,40"    ,            , "70,00000"   ,                 , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
170, 2022,         4, 14/04/2022, KNRI11       , RENDIMENTOS                 , "R$ 48,60"    ,            , "60,00000"   , "R$ 164,55"     , "R$ 9.873,00"   , "R$ 9.873,00"                 , "R$ 164,55"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 12.005.956/0001-65,          , NOT FOUND  ,                          ,               , 
171, 2022,         5, 06/05/2022, HSML11       , RENDIMENTOS                 , "R$ 49,80"    ,            , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
172, 2022,         5, 13/05/2022, BVMF:SUZB3   , DIVIDENDOS                  , "R$ 158,27"   ,            , "267,00000"  , "R$ 41,52"      , "R$ 2.781,84"   , "R$ 11.085,84"                , "R$ 41,52"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Industry       , Rico Investimentos, 16.404.287/0001-55,          , NOT FOUND  ,                          ,               , 
173, 2022,         5, 13/05/2022, HGRU11       , RENDIMENTOS                 , "R$ 57,40"    ,            , "70,00000"   ,                 , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
174, 2022,         5, 13/05/2022, KNRI11       , RENDIMENTOS                 , "R$ 50,40"    ,            , "60,00000"   , "R$ 164,55"     , "R$ 9.873,00"   , "R$ 9.873,00"                 , "R$ 164,55"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 12.005.956/0001-65,          , NOT FOUND  ,                          ,               , 
175, 2022,         5, 27/05/2022, ENBR3        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 309,93"   ,            , "0,00000"    ,                 ,                 ,                               ,                    , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Energy         , Rico Investimentos, 03.983.431/0001-03,          , NOT FOUND  ,                          ,               , 
176, 2022,         5, 27/05/2022, ENBR3        , DIVIDENDOS                  , "R$ 648,84"   ,            , "0,00000"    ,                 ,                 ,                               ,                    , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Energy         , Rico Investimentos, 03.983.431/0001-03,          , NOT FOUND  ,                          ,               , 
177, 2022,         6, 07/06/2022, HSML11       , RENDIMENTOS                 , "R$ 51,46"    ,            , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
178, 2022,         6, 14/06/2022, HGRU11       , RENDIMENTOS                 , "R$ 57,40"    ,            , "70,00000"   ,                 , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
